,time,drink,amount
6154,28-12-2020 04:01,Kiwi Papaya Smoothie,5.15
6155,30-12-2020 17:30,Daiquiri,11
6156,30-12-2020 22:13,Planter's Punch,5
6157,25-12-2020 22:33,Tuxedo Cocktail,12
6158,27-12-2020 18:52,Japanese Fizz,4
6159,30-12-2020 14:11,After sex,7.5
6160,26-12-2020 02:45,Death in the Afternoon,4
6161,26-12-2020 04:34,Manhattan,4.2
6162,27-12-2020 20:36,Rusty Nail,4
6163,25-12-2020 17:39,Bubble Gum,3
6164,26-12-2020 13:44,Royal Gin Fizz,7.5
6165,31-12-2020 15:20,Irish Coffee,7.5
6166,31-12-2020 02:52,Gin Fizz,2.99
6167,26-12-2020 23:07,Cuba Libre,4.2
6168,28-12-2020 11:21,Hawaiian Cocktail,6.5
6169,28-12-2020 18:26,Honey Bee,3
6170,30-12-2020 19:35,Egg Nog - Healthy,11
6171,25-12-2020 23:06,City Slicker,4
6172,28-12-2020 17:19,Manhattan,4.2
6173,29-12-2020 18:09,Irish Coffee,7.5
6174,27-12-2020 04:24,Egg Cream,4.99
6175,25-12-2020 17:30,Grass Skirt,2.99
6176,29-12-2020 04:24,Irish Coffee,7.5
6177,28-12-2020 08:16,Bramble,4.2
6178,26-12-2020 09:47,Flying Dutchman,6.5
6179,29-12-2020 01:38,Jack's Vanilla Coke,6.5
6180,28-12-2020 08:19,Long Island Tea,8
6181,29-12-2020 04:42,Orange Crush,5.5
6182,30-12-2020 10:35,Jack's Vanilla Coke,6.5
6183,29-12-2020 06:28,Victor,4.2
6184,30-12-2020 11:48,After sex,7.5
6185,30-12-2020 02:11,Sweet Tooth,2.99
6186,28-12-2020 16:50,Lassi Raita,6.5
6187,29-12-2020 01:43,Gin Fizz,2.99
6188,26-12-2020 00:06,Yellow Bird,8
6189,31-12-2020 03:28,Long Island Tea,8
6190,26-12-2020 13:24,Munich Mule,12
6191,28-12-2020 22:26,Bubble Gum,3
6192,29-12-2020 20:37,French Negroni,2.99
6193,28-12-2020 08:03,Vodka And Tonic,11
6194,30-12-2020 22:45,Sangria,3.5
6195,31-12-2020 20:06,Dark Caipirinha,2.99
6196,29-12-2020 01:44,Halloween Punch,8
6197,29-12-2020 09:00,B-53,5.15
6198,31-12-2020 18:37,Horse's Neck,7.5
6199,28-12-2020 00:11,Bora Bora,2.99
6200,29-12-2020 19:01,Imperial Cocktail,4.99
6201,31-12-2020 06:23,Vesuvio,3
6202,27-12-2020 03:14,Gin Fizz,2.99
6203,29-12-2020 19:51,Adam,3.5
6204,27-12-2020 16:25,Sea breeze,8
6205,28-12-2020 03:40,Rusty Nail,4
6206,28-12-2020 06:59,Casino Royale,11
6207,31-12-2020 13:24,Van Vleet,4.2
6208,30-12-2020 20:00,After sex,7.5
6209,25-12-2020 17:15,Hawaiian Cocktail,6.5
6210,30-12-2020 21:43,Zizi Coin-coin,5
6211,28-12-2020 22:49,Manhattan,4.2
6212,31-12-2020 10:35,Bijou,4
6213,29-12-2020 01:12,Vodka And Tonic,11
6214,30-12-2020 01:23,Talos Coffee,5.15
6215,30-12-2020 21:33,Manhattan,4.2
6216,28-12-2020 08:16,Rum Punch,3.5
6217,28-12-2020 08:34,Imperial Cocktail,4.99
6218,30-12-2020 13:34,Casino Royale,11
6219,28-12-2020 12:29,Jelly Bean,3
6220,26-12-2020 02:56,Imperial Cocktail,4.99
6221,27-12-2020 00:09,Porto flip,4.99
6222,30-12-2020 04:08,Boston Sour,5
6223,26-12-2020 05:35,Manhattan,4.2
6224,28-12-2020 12:51,Cream Soda,5.15
6225,28-12-2020 15:30,Manhattan,4.2
6226,29-12-2020 22:47,Hawaiian Cocktail,6.5
6227,28-12-2020 10:20,Long Island Iced Tea,3
6228,26-12-2020 07:23,Egg Cream,4.99
6229,26-12-2020 07:59,Grass Skirt,2.99
6230,30-12-2020 09:23,Cream Soda,5.15
6231,31-12-2020 06:25,Paradise,4.2
6232,26-12-2020 16:48,Rum Toddy,4.2
6233,26-12-2020 08:54,Imperial Cocktail,4.99
6234,29-12-2020 18:05,Orange Oasis,4.99
6235,27-12-2020 15:10,Coffee-Vodka,2.99
6236,30-12-2020 13:40,Grizzly Bear,12
6237,26-12-2020 19:51,Casa Blanca,5.15
6238,27-12-2020 15:19,Veteran,8
6239,29-12-2020 22:55,Hawaiian Cocktail,6.5
6240,25-12-2020 19:21,Long Island Iced Tea,3
6241,30-12-2020 01:57,Bloody Mary,5.5
6242,28-12-2020 05:36,Frisco Sour,4
6243,28-12-2020 04:39,GG,12
6244,26-12-2020 18:34,Pysch Vitamin Light,6.5
6245,28-12-2020 02:44,Mai Tai,11
6246,31-12-2020 22:50,Margarita,7.5
6247,27-12-2020 08:30,Creme de Menthe,3.5
6248,26-12-2020 10:37,Creme de Menthe,3.5
6249,26-12-2020 10:04,Damned if you do,6.5
6250,28-12-2020 17:32,Thai Iced Coffee,4.2
6251,27-12-2020 07:48,City Slicker,4
6252,31-12-2020 23:11,Bijou,4
6253,30-12-2020 11:18,Mojito,5.5
6254,28-12-2020 10:46,Broadside,5.5
6255,31-12-2020 10:58,Hawaiian Cocktail,6.5
6256,26-12-2020 14:00,Bora Bora,2.99
6257,31-12-2020 19:51,Mai Tai,11
6258,26-12-2020 18:34,Mai Tai,11
6259,28-12-2020 08:55,Gin Rickey,4
6260,30-12-2020 12:21,Fruit Shake,5.5
6261,26-12-2020 23:24,Fruit Cooler,8
6262,29-12-2020 11:01,Sweet Sangria,4
6263,31-12-2020 19:08,Imperial Cocktail,4.99
6264,28-12-2020 01:08,Texas Rattlesnake,3.5
6265,31-12-2020 06:40,Margarita,7.5
6266,27-12-2020 08:31,Vesuvio,3
6267,29-12-2020 09:56,Manhattan,4.2
6268,31-12-2020 00:11,Bora Bora,2.99
6269,27-12-2020 16:13,Hawaiian Cocktail,6.5
6270,31-12-2020 05:58,Hunter's Moon,3
6271,31-12-2020 20:50,Kiwi Papaya Smoothie,5.15
6272,28-12-2020 19:53,Oreo Mudslide,8
6273,30-12-2020 14:30,Frappé,3
6274,25-12-2020 19:52,Corpse Reviver,5.15
6275,31-12-2020 09:42,Port Wine Flip,5
6276,27-12-2020 22:37,Winter Rita,5.5
6277,27-12-2020 13:48,Halloween Punch,8
6278,29-12-2020 03:18,Sangria,3.5
6279,28-12-2020 06:31,Kurant Tea,3
6280,26-12-2020 12:56,Big Red,8
6281,31-12-2020 21:23,Grasshopper,4.99
6282,28-12-2020 23:22,Manhattan,4.2
6283,26-12-2020 00:11,Dry Martini,8
6284,28-12-2020 04:35,New York Lemonade,5.15
6285,31-12-2020 12:18,Grim Reaper,4
6286,28-12-2020 20:09,Mulled Wine,11
6287,26-12-2020 08:02,Frappé,3
6288,27-12-2020 05:10,Gimlet,4.2
6289,29-12-2020 11:55,Chocolate Drink,12
6290,30-12-2020 12:52,Kurant Tea,3
6291,30-12-2020 00:11,Vampiro,11
6292,30-12-2020 17:15,Zizi Coin-coin,5
6293,31-12-2020 22:02,Jackhammer,3.5
6294,29-12-2020 17:20,After sex,7.5
6295,30-12-2020 08:26,Quick-sand,4
6296,30-12-2020 03:21,Margarita,7.5
6297,28-12-2020 22:12,Waikiki Beachcomber,5.5
6298,26-12-2020 17:30,Imperial Cocktail,4.99
6299,28-12-2020 21:19,Hawaiian Cocktail,6.5
6300,25-12-2020 17:18,Bloody Mary,5.5
6301,27-12-2020 23:26,Long Island Tea,8
6302,28-12-2020 13:02,Shark Attack,6.5
6303,28-12-2020 22:27,Hawaiian Cocktail,6.5
6304,26-12-2020 18:39,Monkey Gland,11
6305,27-12-2020 16:29,Pysch Vitamin Light,6.5
6306,25-12-2020 23:25,Hawaiian Cocktail,6.5
6307,31-12-2020 15:15,Homemade Kahlua,6.5
6308,26-12-2020 16:14,Pink Panty Pulldowns,2.99
6309,26-12-2020 05:46,John Collins,6.5
6310,29-12-2020 23:37,Loch Lomond,3
6311,25-12-2020 21:36,Dry Martini,8
6312,26-12-2020 01:15,New York Lemonade,5.15
6313,27-12-2020 17:13,Sweet Sangria,4
6314,25-12-2020 22:35,Long Island Tea,8
6315,28-12-2020 03:06,Bijou,4
6316,29-12-2020 12:04,Hawaiian Cocktail,6.5
6317,29-12-2020 07:09,Clover Club,4.99
6318,27-12-2020 10:39,Iced Coffee Fillip,5
6319,31-12-2020 08:25,Valencia Cocktail,5.5
6320,28-12-2020 10:06,Funk and Soul,5.15
6321,31-12-2020 06:18,After sex,7.5
6322,29-12-2020 03:49,Jack's Vanilla Coke,6.5
6323,30-12-2020 15:41,Kurant Tea,3
6324,31-12-2020 21:15,Cuba Libre,4.2
6325,29-12-2020 10:23,Cream Soda,5.15
6326,26-12-2020 11:03,Ace,12
6327,27-12-2020 04:47,Pink Panty Pulldowns,2.99
6328,30-12-2020 11:29,Bramble,4.2
6329,27-12-2020 16:48,Long Island Tea,8
6330,30-12-2020 18:56,Sea breeze,8
6331,26-12-2020 13:06,Coffee Liqueur,5.5
6332,31-12-2020 02:13,GG,12
6333,29-12-2020 04:20,Death in the Afternoon,4
6334,30-12-2020 02:25,Valencia Cocktail,5.5
6335,27-12-2020 13:26,Pysch Vitamin Light,6.5
6336,31-12-2020 11:53,French Negroni,2.99
6337,31-12-2020 15:03,Quick-sand,4
6338,27-12-2020 12:37,Van Vleet,4.2
6339,31-12-2020 17:33,Broadside,5.5
6340,27-12-2020 14:13,Honey Bee,3
6341,28-12-2020 04:25,Affinity,2.99
6342,27-12-2020 03:06,Planter's Punch,5
6343,30-12-2020 20:13,Daiquiri,11
6344,26-12-2020 03:00,Radioactive Long Island Iced Tea,7.5
6345,31-12-2020 20:04,Sweet Tooth,2.99
6346,26-12-2020 19:57,Bora Bora,2.99
6347,26-12-2020 10:25,Clover Club,4.99
6348,29-12-2020 13:15,Paradise,4.2
6349,26-12-2020 07:18,Oatmeal Cookie,4.99
6350,28-12-2020 23:11,Lone Tree Cooler,5.5
6351,28-12-2020 15:33,Godfather,6.5
6352,27-12-2020 23:31,Victory Collins,7.5
6353,31-12-2020 19:07,Thai Coffee,5.5
6354,27-12-2020 19:39,Bora Bora,2.99
6355,29-12-2020 14:44,Irish Curdling Cow,2.99
6356,27-12-2020 10:12,Yellow Bird,8
6357,26-12-2020 17:42,Espresso Martini,11
6358,29-12-2020 00:03,Grizzly Bear,12
6359,29-12-2020 01:02,Shot-gun,7.5
6360,30-12-2020 01:03,Bramble,4.2
6361,30-12-2020 06:07,Boxcar,5.15
6362,27-12-2020 12:10,Broadside,5.5
6363,29-12-2020 11:50,Hawaiian Cocktail,6.5
6364,29-12-2020 19:51,Bellini,2.99
6365,27-12-2020 01:42,Long Island Tea,8
6366,28-12-2020 12:18,Manhattan,4.2
6367,31-12-2020 14:29,Victor,4.2
6368,29-12-2020 18:19,Turf Cocktail,12
6369,27-12-2020 18:08,Rusty Nail,4
6370,27-12-2020 19:23,Imperial Cocktail,4.99
6371,28-12-2020 08:33,GG,12
6372,30-12-2020 19:01,Flaming Lamborghini,3
6373,30-12-2020 04:53,Old Fashioned,5.5
6374,28-12-2020 14:38,Bellini,2.99
6375,27-12-2020 03:30,Hawaiian Cocktail,6.5
6376,30-12-2020 19:08,Chocolate Milk,5.15
6377,28-12-2020 21:24,Kurant Tea,3
6378,26-12-2020 15:17,Orgasm,5.15
6379,28-12-2020 22:24,French 75,6.5
6380,28-12-2020 20:45,Zizi Coin-coin,5
6381,26-12-2020 19:33,Long Island Tea,8
6382,26-12-2020 10:47,Vodka And Tonic,11
6383,28-12-2020 16:09,City Slicker,4
6384,27-12-2020 10:07,Hawaiian Cocktail,6.5
6385,26-12-2020 13:45,Cream Soda,5.15
6386,30-12-2020 02:46,Manhattan,4.2
6387,28-12-2020 10:39,Long Island Tea,8
6388,30-12-2020 06:30,Irish Coffee,7.5
6389,26-12-2020 23:41,Cream Soda,5.15
6390,28-12-2020 07:56,Grizzly Bear,12
6391,25-12-2020 16:50,Manhattan,4.2
6392,28-12-2020 07:58,Shot-gun,7.5
6393,27-12-2020 05:58,Danbooka,4.99
6394,29-12-2020 07:39,Rum Milk Punch,12
6395,26-12-2020 15:33,Shot-gun,7.5
6396,30-12-2020 01:39,Ipamena,2.99
6397,25-12-2020 23:40,Melya,8
6398,31-12-2020 08:01,Mojito,5.5
6399,29-12-2020 15:59,Kill the cold Smoothie,11
6400,29-12-2020 14:29,Clover Club,4.99
6401,27-12-2020 00:45,Whitecap Margarita,4.99
6402,31-12-2020 01:09,Texas Rattlesnake,3.5
6403,31-12-2020 06:36,Gin Fizz,2.99
6404,27-12-2020 21:17,Irish Spring,5.15
6405,29-12-2020 19:26,Gin Tonic,6.5
6406,26-12-2020 19:25,Margarita,7.5
6407,31-12-2020 06:44,Bora Bora,2.99
6408,26-12-2020 23:33,Casino Royale,11
6409,27-12-2020 05:58,Jackhammer,3.5
6410,30-12-2020 23:04,Waikiki Beachcomber,5.5
6411,29-12-2020 15:55,Vesuvio,3
6412,30-12-2020 05:03,Zimadori Zinger,12
6413,30-12-2020 05:11,Jack's Vanilla Coke,6.5
6414,25-12-2020 16:07,Cuba Libre,4.2
6415,28-12-2020 00:38,Kool-Aid Slammer,3
6416,29-12-2020 19:40,Tequila Sour,5.15
6417,31-12-2020 05:56,Egg Nog - Healthy,11
6418,30-12-2020 21:39,Sea breeze,8
6419,27-12-2020 04:58,Rusty Nail,4
6420,26-12-2020 13:30,Owen's Grandmother's Revenge,8
6421,26-12-2020 18:05,Imperial Cocktail,4.99
6422,31-12-2020 07:48,Citrus Coke,5.15
6423,26-12-2020 02:14,Fahrenheit 5000,2.99
6424,31-12-2020 09:07,Frozen Daiquiri,4.99
6425,29-12-2020 00:13,Big Red,8
6426,28-12-2020 17:22,Yoghurt Cooler,3.5
6427,29-12-2020 20:23,Scooter,12
6428,28-12-2020 10:10,Grim Reaper,4
6429,30-12-2020 22:28,Pysch Vitamin Light,6.5
6430,30-12-2020 20:25,Imperial Cocktail,4.99
6431,30-12-2020 08:20,Chocolate Milk,5.15
6432,25-12-2020 20:27,Sol Y Sombra,5.15
6433,28-12-2020 21:46,Grim Reaper,4
6434,31-12-2020 18:57,Bora Bora,2.99
6435,26-12-2020 22:45,Valencia Cocktail,5.5
6436,27-12-2020 22:04,Afternoon,3
6437,31-12-2020 21:15,John Collins,6.5
6438,27-12-2020 07:10,Casino,6.5
6439,28-12-2020 05:55,Sangria,3.5
6440,30-12-2020 20:53,Hawaiian Cocktail,6.5
6441,30-12-2020 08:09,Big Red,8
6442,30-12-2020 12:58,Flying Scotchman,12
6443,28-12-2020 13:51,Gin Fizz,2.99
6444,29-12-2020 11:32,Sweet Sangria,4
6445,26-12-2020 18:56,Grim Reaper,4
6446,29-12-2020 07:18,Sweet Tooth,2.99
6447,31-12-2020 05:02,Whitecap Margarita,4.99
6448,26-12-2020 20:07,Talos Coffee,5.15
6449,29-12-2020 11:07,Corpse Reviver,5.15
6450,28-12-2020 10:20,Hawaiian Cocktail,6.5
6451,29-12-2020 06:12,Manhattan,4.2
6452,27-12-2020 08:59,Adam,3.5
6453,26-12-2020 09:13,Winter Rita,5.5
6454,31-12-2020 14:15,Bellini,2.99
6455,27-12-2020 04:39,B-53,5.15
6456,26-12-2020 19:05,Long Island Tea,8
6457,28-12-2020 03:26,Tom Collins,5.5
6458,28-12-2020 13:06,Hawaiian Cocktail,6.5
6459,27-12-2020 18:03,Long Island Tea,8
6460,28-12-2020 14:13,Fruit Shake,5.5
6461,29-12-2020 05:32,Corpse Reviver,5.15
6462,26-12-2020 00:12,Coffee-Vodka,2.99
6463,28-12-2020 05:32,Dark Caipirinha,2.99
6464,29-12-2020 23:07,Broadside,5.5
6465,26-12-2020 08:41,Mudslinger,11
6466,31-12-2020 23:05,Cosmopolitan,2.99
6467,29-12-2020 13:47,Long Island Tea,8
6468,29-12-2020 16:35,Frosé,2.99
6469,29-12-2020 08:17,Iced Coffee Fillip,5
6470,29-12-2020 07:10,Affair,8
6471,26-12-2020 01:57,Long Island Tea,8
6472,28-12-2020 08:38,Long Island Iced Tea,3
6473,31-12-2020 00:10,Hawaiian Cocktail,6.5
6474,29-12-2020 00:11,Kiwi Papaya Smoothie,5.15
6475,29-12-2020 03:25,Munich Mule,12
6476,31-12-2020 21:01,Corpse Reviver,5.15
6477,29-12-2020 23:57,Nuked Hot Chocolate,12
6478,30-12-2020 13:22,Cuba Libre,4.2
6479,31-12-2020 18:38,Shot-gun,7.5
6480,28-12-2020 13:56,Scotch Sour,7.5
6481,29-12-2020 09:13,Imperial Cocktail,4.99
6482,31-12-2020 13:36,Fahrenheit 5000,2.99
6483,27-12-2020 03:24,Rum Toddy,4.2
6484,30-12-2020 14:35,Gin Tonic,6.5
6485,26-12-2020 12:40,Munich Mule,12
6486,30-12-2020 08:01,Owen's Grandmother's Revenge,8
6487,30-12-2020 09:38,A. J.,11
6488,26-12-2020 16:33,Margarita,7.5
6489,28-12-2020 12:17,Imperial Cocktail,4.99
6490,25-12-2020 23:11,Flaming Lamborghini,3
6491,26-12-2020 20:44,Sweet Sangria,4
6492,28-12-2020 03:35,Zizi Coin-coin,5
6493,30-12-2020 09:03,Shark Attack,6.5
6494,31-12-2020 06:43,Pysch Vitamin Light,6.5
6495,31-12-2020 15:12,Chocolate Drink,12
6496,27-12-2020 00:56,Pink Panty Pulldowns,2.99
6497,27-12-2020 11:54,Mai Tai,11
6498,28-12-2020 12:22,Dry Martini,8
6499,28-12-2020 03:51,Egg Cream,4.99
6500,31-12-2020 04:18,Manhattan,4.2
6501,29-12-2020 07:34,Hawaiian Cocktail,6.5
6502,28-12-2020 21:42,Rum Cooler,4.99
6503,28-12-2020 17:38,Vodka And Tonic,11
6504,30-12-2020 00:22,Talos Coffee,5.15
6505,27-12-2020 17:05,Hunter's Moon,3
6506,28-12-2020 17:58,Ziemes Martini Apfelsaft,4
6507,30-12-2020 02:52,Irish Coffee,7.5
6508,29-12-2020 22:56,Gin Fizz,2.99
6509,28-12-2020 04:25,Lassi Raita,6.5
6510,26-12-2020 14:41,Irish Spring,5.15
6511,26-12-2020 01:28,Waikiki Beachcomber,5.5
6512,28-12-2020 10:04,Queen Charlotte,8
6513,30-12-2020 02:38,Frosé,2.99
6514,28-12-2020 07:55,John Collins,6.5
6515,31-12-2020 03:35,Godfather,6.5
6516,31-12-2020 10:28,Kill the cold Smoothie,11
6517,28-12-2020 17:48,Munich Mule,12
6518,29-12-2020 04:54,Dry Martini,8
6519,31-12-2020 20:11,Margarita,7.5
6520,31-12-2020 02:51,Hemingway Special,3.5
6521,29-12-2020 17:19,Margarita,7.5
6522,29-12-2020 22:50,Gin Fizz,2.99
6523,26-12-2020 04:07,Porto flip,4.99
6524,27-12-2020 09:29,Irish Coffee,7.5
6525,27-12-2020 23:15,Coffee Liqueur,5.5
6526,29-12-2020 21:08,White Lady,6.5
6527,31-12-2020 14:16,Old Fashioned,5.5
6528,29-12-2020 11:00,Turf Cocktail,12
6529,27-12-2020 19:57,Orgasm,5.15
6530,30-12-2020 06:08,Pysch Vitamin Light,6.5
6531,29-12-2020 03:55,Mocha-Berry,8
6532,28-12-2020 01:10,Thai Coffee,5.5
6533,29-12-2020 10:26,Van Vleet,4.2
6534,26-12-2020 06:34,Thai Iced Coffee,4.2
6535,27-12-2020 16:36,Death in the Afternoon,4
6536,28-12-2020 19:51,Scooter,12
6537,30-12-2020 06:54,Owen's Grandmother's Revenge,8
6538,28-12-2020 11:34,Clover Club,4.99
6539,25-12-2020 20:20,Hawaiian Cocktail,6.5
6540,27-12-2020 07:27,Yoghurt Cooler,3.5
6541,27-12-2020 15:47,Royal Gin Fizz,7.5
6542,29-12-2020 01:39,Vampiro,11
6543,31-12-2020 11:55,Bijou,4
6544,30-12-2020 16:52,Kill the cold Smoothie,11
6545,29-12-2020 20:15,Victor,4.2
6546,30-12-2020 03:48,Margarita,7.5
6547,31-12-2020 04:04,Casino Royale,11
6548,26-12-2020 05:05,White Lady,6.5
6549,30-12-2020 13:34,Grizzly Bear,12
6550,28-12-2020 20:42,Manhattan,4.2
6551,27-12-2020 18:50,Owen's Grandmother's Revenge,8
6552,27-12-2020 13:00,Oatmeal Cookie,4.99
6553,27-12-2020 14:36,Grizzly Bear,12
6554,27-12-2020 23:57,Mai Tai,11
6555,29-12-2020 19:03,Margarita,7.5
6556,31-12-2020 00:40,Afternoon,3
6557,31-12-2020 08:53,Godchild,7.5
6558,29-12-2020 14:28,Imperial Cocktail,4.99
6559,26-12-2020 15:50,Hawaiian Cocktail,6.5
6560,26-12-2020 11:10,Orgasm,5.15
6561,30-12-2020 01:45,Sangria,3.5
6562,30-12-2020 13:42,Margarita,7.5
6563,27-12-2020 01:15,Espresso Martini,11
6564,31-12-2020 20:59,Gin Tonic,6.5
6565,26-12-2020 13:37,Owen's Grandmother's Revenge,8
6566,28-12-2020 07:02,B-53,5.15
6567,26-12-2020 17:12,Chocolate Drink,12
6568,31-12-2020 12:00,Sea breeze,8
6569,27-12-2020 07:05,Long Island Tea,8
6570,29-12-2020 00:47,Vesuvio,3
6571,29-12-2020 19:21,Rum Punch,3.5
6572,26-12-2020 05:22,Munich Mule,12
6573,28-12-2020 23:30,Frisco Sour,4
6574,30-12-2020 00:58,Jack's Vanilla Coke,6.5
6575,31-12-2020 02:52,Hawaiian Cocktail,6.5
6576,30-12-2020 08:27,Creme de Menthe,3.5
6577,27-12-2020 17:45,Orgasm,5.15
6578,31-12-2020 22:58,Mocha-Berry,8
6579,30-12-2020 11:33,Imperial Cocktail,4.99
6580,26-12-2020 16:19,Thai Iced Coffee,4.2
6581,29-12-2020 08:48,Long Island Tea,8
6582,31-12-2020 11:48,Imperial Cocktail,4.99
6583,29-12-2020 08:03,Vodka And Tonic,11
6584,27-12-2020 04:56,Frosé,2.99
6585,26-12-2020 16:40,Imperial Cocktail,4.99
6586,26-12-2020 10:19,Barracuda,4.2
6587,27-12-2020 10:25,Godfather,6.5
6588,27-12-2020 01:09,Mango Mojito,7.5
6589,31-12-2020 00:00,Barracuda,4.2
6590,31-12-2020 04:47,Cream Soda,5.15
6591,31-12-2020 01:24,Halloween Punch,8
6592,26-12-2020 06:54,Lord And Lady,8
6593,26-12-2020 04:12,Figgy Thyme,3
6594,30-12-2020 07:59,Lassi Raita,6.5
6595,27-12-2020 03:05,Gin Rickey,4
6596,27-12-2020 23:46,Boxcar,5.15
6597,26-12-2020 19:52,Manhattan,4.2
6598,31-12-2020 18:07,Scotch Sour,7.5
6599,27-12-2020 20:21,Margarita,7.5
6600,28-12-2020 17:01,Talos Coffee,5.15
6601,29-12-2020 12:00,Tequila Sour,5.15
6602,26-12-2020 17:56,Adam,3.5
6603,27-12-2020 19:30,Gin Tonic,6.5
6604,25-12-2020 17:11,Margarita,7.5
6605,26-12-2020 20:55,Loch Lomond,3
6606,26-12-2020 21:51,Hawaiian Cocktail,6.5
6607,29-12-2020 08:44,Halloween Punch,8
6608,25-12-2020 23:34,Honey Bee,3
6609,29-12-2020 07:26,Casino Royale,11
6610,30-12-2020 19:31,Shot-gun,7.5
6611,28-12-2020 01:38,Casino Royale,11
6612,31-12-2020 02:43,Kool First Aid,5
6613,27-12-2020 16:09,Hawaiian Cocktail,6.5
6614,29-12-2020 23:46,Pink Panty Pulldowns,2.99
6615,25-12-2020 20:15,Porto flip,4.99
6616,26-12-2020 21:07,Jelly Bean,3
6617,26-12-2020 05:21,Dark Caipirinha,2.99
6618,28-12-2020 19:26,Bijou,4
6619,26-12-2020 23:16,Sidecar,11
6620,28-12-2020 13:23,Frozen Daiquiri,4.99
6621,27-12-2020 22:10,Winter Rita,5.5
6622,29-12-2020 20:28,Figgy Thyme,3
6623,28-12-2020 23:57,Fruit Shake,5.5
6624,29-12-2020 15:51,Tequila Sour,5.15
6625,26-12-2020 13:45,Mother's Milk,5
6626,31-12-2020 19:15,Texas Rattlesnake,3.5
6627,25-12-2020 21:45,Vampiro,11
6628,29-12-2020 15:15,Passion Fruit Martini,2.99
6629,29-12-2020 00:29,Godfather,6.5
6630,28-12-2020 12:51,Port Wine Flip,5
6631,27-12-2020 23:10,Grim Reaper,4
6632,26-12-2020 22:00,Figgy Thyme,3
6633,30-12-2020 16:53,Zoksel,6.5
6634,26-12-2020 05:53,Zizi Coin-coin,5
6635,30-12-2020 03:45,Hemingway Special,3.5
6636,31-12-2020 17:45,Passion Fruit Martini,2.99
6637,26-12-2020 16:04,The Philosopher,5.15
6638,27-12-2020 12:45,Hawaiian Cocktail,6.5
6639,27-12-2020 03:40,Frozen Daiquiri,4.99
6640,27-12-2020 00:43,Vermouth Cassis,12
6641,27-12-2020 03:37,Chocolate Milk,5.15
6642,30-12-2020 11:09,Hawaiian Cocktail,6.5
6643,31-12-2020 11:34,Zimadori Zinger,12
6644,28-12-2020 17:54,Frosé,2.99
6645,30-12-2020 12:02,Chocolate Milk,5.15
6646,30-12-2020 04:16,Zippy's Revenge,5
6647,27-12-2020 11:21,Imperial Cocktail,4.99
6648,26-12-2020 09:35,Oatmeal Cookie,4.99
6649,31-12-2020 22:19,Irish Curdling Cow,2.99
6650,27-12-2020 13:09,Creme de Menthe,3.5
6651,31-12-2020 17:04,Ipamena,2.99
6652,29-12-2020 07:40,Queen Charlotte,8
6653,31-12-2020 12:50,Godfather,6.5
6654,29-12-2020 19:22,Margarita,7.5
6655,30-12-2020 14:31,Jelly Bean,3
6656,26-12-2020 17:23,Hawaiian Cocktail,6.5
6657,30-12-2020 02:51,Sidecar,11
6658,28-12-2020 21:49,Pysch Vitamin Light,6.5
6659,30-12-2020 15:46,Cream Soda,5.15
6660,30-12-2020 05:07,Flying Dutchman,6.5
6661,26-12-2020 10:49,Hawaiian Cocktail,6.5
6662,28-12-2020 19:48,Godchild,7.5
6663,30-12-2020 02:10,Frosé,2.99
6664,27-12-2020 19:02,Grasshopper,4.99
6665,27-12-2020 06:01,Vampiro,11
6666,30-12-2020 12:24,Grim Reaper,4
6667,27-12-2020 03:12,Manhattan,4.2
6668,28-12-2020 06:17,Lemon Elderflower Spritzer,4.2
6669,29-12-2020 00:09,Quick-sand,4
6670,30-12-2020 10:28,Margarita,7.5
6671,31-12-2020 20:08,Long Island Tea,8
6672,27-12-2020 11:31,Dry Martini,8
6673,31-12-2020 16:01,Limona Corona,4.2
6674,29-12-2020 19:32,Irish Spring,5.15
6675,29-12-2020 10:53,Hawaiian Cocktail,6.5
6676,29-12-2020 04:17,Imperial Cocktail,4.99
6677,28-12-2020 09:03,Broadside,5.5
6678,30-12-2020 12:20,Manhattan,4.2
6679,28-12-2020 03:07,Winter Paloma,8
6680,27-12-2020 17:00,Death in the Afternoon,4
6681,31-12-2020 18:00,Damned if you do,6.5
6682,29-12-2020 08:44,A. J.,11
6683,28-12-2020 19:37,Cuba Libre,4.2
6684,29-12-2020 00:23,Hawaiian Cocktail,6.5
6685,28-12-2020 00:07,Egg Nog - Healthy,11
6686,27-12-2020 06:08,Adam,3.5
6687,27-12-2020 13:48,Hawaiian Cocktail,6.5
6688,31-12-2020 12:34,Rum Cooler,4.99
6689,29-12-2020 10:57,Bubble Gum,3
6690,26-12-2020 21:38,Long Island Tea,8
6691,30-12-2020 01:09,Gin Fizz,2.99
6692,30-12-2020 16:28,Paradise,4.2
6693,26-12-2020 16:24,Creme de Menthe,3.5
6694,26-12-2020 14:50,Hawaiian Cocktail,6.5
6695,26-12-2020 13:02,Lone Tree Cooler,5.5
6696,26-12-2020 20:03,Victory Collins,7.5
6697,26-12-2020 07:10,Mother's Milk,5
6698,29-12-2020 23:25,Rum Punch,3.5
6699,31-12-2020 19:18,Gin Tonic,6.5
6700,31-12-2020 13:01,Manhattan,4.2
6701,29-12-2020 19:29,Porto flip,4.99
6702,31-12-2020 14:25,Grizzly Bear,12
6703,27-12-2020 03:24,Afternoon,3
